,DBUID,dbpop,A_21,A_20,area,lim,lico,vismin,pop,immig,no_car_rate
0,35200002001,87.0,26.99999999999172,33.39717675364831,10674.647161646564,12.219101123595506,6.109550561797753,90.42134831460675,356.0,7.331460674157303,4.567249227338418
1,35200002002,193.0,26.585289016039837,31.269166396043772,25903.122182606166,27.10674157303371,13.553370786516854,200.58988764044943,356.0,16.264044943820224,10.131943688233502
2,35200002003,76.0,24.3221487785952,31.388737429040603,13774.37579012123,10.674157303370787,5.337078651685394,78.98876404494382,356.0,6.404494382022472,3.989780934226664
3,35200003001,335.0,26.255057416056907,24.85849247705076,46741.16847633684,40.0,35.0,275.0,335.0,20.0,17.58653438113069
4,35200004001,306.0,19.703359203903144,25.198658158018613,39470.47409912565,35.859375,31.875,334.6875,384.0,23.90625,16.064117972017886
5,35200004002,78.0,22.236679539295174,25.255741623743933,9296.165418883103,9.140625,8.125,85.3125,384.0,6.09375,4.094775169337892
6,35200005001,199.0,22.46333715120612,24.14577303363893,22202.668846580582,24.387254901960784,12.193627450980392,246.31127450980392,408.0,4.877450980392157,10.446926393567187
7,35200005002,209.0,24.81474414340391,23.999999999998018,22076.177253130812,25.612745098039216,12.806372549019608,258.6887254901961,408.0,5.122549019607843,10.971897569123326
8,35200006001,527.0,26.791736748567722,24.938835576913245,57151.52106426466,55.0,40.0,395.0,527.0,10.0,27.665980951808578
9,35200007001,503.0,26.53724460158939,24.16935492994826,58603.09362328386,57.77182235834609,50.068912710566615,442.9173047473201,653.0,0.0,26.406050130473844
10,35200007002,150.0,26.362229976902682,23.574819984601792,18757.961183339845,17.228177641653904,14.931087289433384,132.08269525267994,653.0,0.0,7.8745676333421
11,35200009001,293.0,21.31720556040277,20.706957539689864,63775.64073480189,30.0,25.0,195.0,293.0,0.0,52.60851788703231
12,35200010001,113.0,21.46324427137751,20.66761512569188,13534.842093686713,14.434306569343066,12.372262773722628,119.5985401459854,274.0,14.434306569343066,20.289291881346934
13,35200010002,161.0,21.472508284921787,20.621601793452733,22712.941479955618,20.565693430656935,17.62773722627737,170.4014598540146,274.0,20.565693430656935,28.9077521495297
14,35200012001,122.0,22.18260707679119,23.96754916869401,11586.919170277506,9.701789264413518,8.489065606361828,107.9324055666004,503.0,7.276341948310139,21.905253181631203
15,35200012002,247.0,22.23462256901246,24.924294555714418,24465.860337383878,19.642147117296222,17.186878727634195,218.51888667992048,503.0,14.731610337972167,44.349160130023826
16,35200012003,134.0,23.22732826793633,24.651983678532453,11349.976956305354,10.656063618290258,9.324055666003977,118.54870775347912,503.0,7.992047713717694,24.059868248676892
17,35200013001,59.0,23.609999999999992,23.999999999999993,5375.258565321146,0.0,0.0,80.0,59.0,0.0,10.593524079641318
18,35200013003,0.0,22.473556169733314,24.530574782803924,1886.3402361049832,0.0,0.0,0.0,59.0,0.0,0.0
19,35200018003,497.0,20.947002195998728,26.57717950727031,176150.71303558777,325.0,220.0,380.0,497.0,20.0,89.23697402680958
20,35200028001,106.0,22.162140854656695,24.618717600291973,11484.45973106374,28.89267461669506,20.315161839863713,92.0954003407155,1174.0,9.028960817717206,19.032433092237053
21,35200028003,60.0,22.346184776881227,26.483452626056,7031.103807555995,16.35434412265758,11.499148211243611,52.12947189097104,1174.0,5.1107325383304945,10.77307533522852
22,35200028004,10.0,21.151021349134176,23.987134302095253,2400.677358869015,2.72572402044293,1.9165247018739353,8.68824531516184,1174.0,0.8517887563884157,1.79551255587142
23,35200028006,185.0,21.29990754800063,25.810059711355297,10522.62179547927,50.42589437819421,35.4557069846678,160.73253833049404,1174.0,15.75809199318569,33.21698228362127
24,35200028007,765.0,21.716426918394948,24.629228222178305,74185.32699257633,208.51788756388416,146.61413969335604,664.6507666098807,1174.0,65.1618398637138,137.35671052416362
25,35200028008,48.0,22.024799129110765,28.327943918057347,12376.48191450808,13.083475298126064,9.199318568994888,41.70357751277683,1174.0,4.088586030664395,8.618460268182815
26,35200028009,0.0,21.324269800509246,25.685722241610463,2057.7558573445485,0.0,0.0,0.0,1174.0,0.0,0.0
27,35200028010,0.0,21.33951999723592,25.57804840546261,3863.1561370828176,0.0,0.0,0.0,1174.0,0.0,0.0
28,35200029002,158.0,22.42236606005105,27.423716745598163,13327.758302910152,18.80952380952381,14.62962962962963,104.4973544973545,378.0,20.8994708994709,28.369098382768435
29,35200029003,184.0,22.130334400906197,25.650719808752477,10613.298835503967,21.904761904761905,17.037037037037038,121.6931216931217,378.0,24.33862433862434,33.03743102803413
30,35200029004,36.0,22.04989025770791,26.191027525269313,20289.62747639471,4.285714285714286,3.3333333333333335,23.80952380952381,378.0,4.761904761904762,6.4638452011371115
31,35200030001,112.0,23.216836747535183,24.123721709780966,14758.797406142707,11.82341650671785,6.449136276391554,101.03646833013435,521.0,4.299424184261037,20.109740625759905
