ctuid,h_N_hhld,h_N_no_car_hhld,year,no_car_rate
5320001.00,1195.92269913644,87.85,2016,0.073457925051038
5320002.01,1567.60730086355,110.59,2016,0.070547004941275
5320002.02,2506.74002381004,863.557344438737,2016,0.344494178190126
5320002.03,2066.03997618996,495.472655561263,2016,0.239817554970537
5320003.01,1445.97,12.39,2016,0.008568642502957
5320003.02,2515.87,193.38,2016,0.076864066903298
5320004.01,1189.15,177.64,2016,0.149384013791364
5320004.02,2692.55,657.96,2016,0.244363150173627
5320005.00,1262.66756996215,406.536944591288,2016,0.321966726842818
5320006.00,1492.81490475255,211.260315582571,2016,0.141518091030575
5320007.00,1868.00904010366,134.430949481437,2016,0.071964828111312
5320008.01,1691.70259203232,232.111646155301,2016,0.137205941072925
5320008.02,1131.50870530684,89.9211141321472,2016,0.079470103685824
5320008.03,1535.24475780463,13.1159746485431,2016,0.008543246659444
5320008.05,1770.98524982887,61.902901598837,2016,0.034953934034639
5320008.06,1411.9761925797,23.5612997806159,2016,0.016686754284128
5320008.07,2663.07170120626,24.9899319517694,2016,0.00938387499685
5320009.01,1509.53685638517,119.855866668778,2016,0.079399099241467
5320009.02,1090.58307354262,54.5617834315531,2016,0.050029919549655
5320009.03,2282.90421547137,172.762064320032,2016,0.075676440189305
5320009.04,1165.46692645738,58.3082165684469,2016,0.050029919549656
5320009.05,2312.84578452863,175.027935679968,2016,0.075676440189305
5320010.00,2648.09243003785,815.033055408712,2016,0.307781196065374
5320011.00,2479.48,133.77,2016,0.053950828399503
5320012.01,820.239496193044,145.088500118759,2016,0.176885532569639
5320012.02,1369.99050380696,242.331499881241,2016,0.176885532569638
5320013.00,3079.39469590241,281.355973342093,2016,0.091367298163006
5320014.01,1629.69752028351,297.994749237165,2016,0.182852796625305
5320014.02,837.617481321194,153.160698961825,2016,0.182852796625306
5320015.02,1245.25726158963,63.594441476414,2016,0.051069319921277
5320015.03,1131.63550298312,205.090625914181,2016,0.181233820760783
5320015.04,1150.14617941855,61.6455786261132,2016,0.053598037996594
5320016.01,3362.61,0,2016,0
5320016.03,2115.37,0,2016,0
5320016.04,2302.56266843037,15.58,2016,0.00676637392485
5320100.01,2498.28882046045,20.1999677441303,2016,0.008085521409173
5320100.02,2092.18117953955,260.73003225587,2016,0.124621153658046
5320100.03,2054.88,0,2016,0
5320101.02,1526.7,14.27,2016,0.009346957490011
5320101.03,1528.50412987269,70.9678849250581,2016,0.046429632434797
5320101.04,1534.62587012731,71.2521150749419,2016,0.046429632434797
5320101.05,1507.78051115408,318.115740421956,2016,0.210982790975634
5320101.06,1390.71007984443,0,2016,0
5320102.01,1465.33387926982,240.217360998734,2016,0.16393353378169
5320102.02,922.646120730178,151.252639001266,2016,0.16393353378169
5320102.03,1430.53940900149,50.8742595780439,2016,0.035562990615934
5320103.00,1554.24,387.44,2016,0.249279390570311
5320104.00,1374.53,29.75,2016,0.021643761867693
5320105.03,2597.51,0,2016,0
5320105.04,1540.49,43.94,2016,0.02852339190777
5320105.05,1679.06808880545,67.9639379273152,2016,0.04047717801347
5320105.06,852.481911194546,34.5060620726848,2016,0.04047717801347
5320105.07,1471.23380297296,31.6290280473776,2016,0.021498301618318
5320105.08,1051.75619702704,22.6109719526224,2016,0.021498301618318
5320105.09,1599.50224855535,65.8949222999666,2016,0.041197142648272
5320105.10,2230.32482924141,91.8830101422417,2016,0.041197142648272
5320105.12,2742.36444360265,3.59733841084026,2016,0.001311765261263
5320105.14,631.408015484934,1.81794365533175,2016,0.002879190017782
5320105.15,3401.45435387044,13.2150260919325,2016,0.003885110519533
5320105.16,2270.57415359413,7.16586665103575,2016,0.003155971206531
5320105.17,633.692796666792,6.39382519085972,2016,0.010089786761805
5320200.00,2231.07,0,2016,0
5320201.01,2454.24443509498,37.6451842606463,2016,0.015338808034901
5320201.02,1301.22248749984,37.2902395132749,2016,0.028657850499436
5320202.04,2428.86233464791,20.6072005601453,2016,0.008484301586871
5320202.05,1843.24871484368,15.6386779963468,2016,0.008484301586871
5320202.08,1075.96926950673,5.47007708020131,2016,0.005083859953276
5320202.09,720.653888622484,3.63268094631612,2016,0.005040812245196
5320202.11,749.654934487353,20.0617624877874,2016,0.026761329199422
5320202.12,231.903196407214,0,2016,0
5320202.13,374.640608686787,0,2016,0
5320202.14,3535.98131520626,69.112283508231,2016,0.019545432327659
5320202.15,609.308902647283,16.2745762260788,2016,0.026709894037934
5320202.16,1234.48767065247,4.04,2016,0.003272612676532
5320202.17,692.765963991114,3.81051186441922,2016,0.005500431693362
5320202.18,1156.83981866232,5.02085155257133,2016,0.004340144133677
5320203.01,1769.37845758196,9.05,2016,0.005114790428933
5320203.02,1811.77115105928,67.3736712645929,2016,0.037186634319242
5320203.03,1296.35683434693,148.014894846181,2016,0.114177586698763
5320203.04,2732.54201459379,42.081433889226,2016,0.015400104980813
5320204.00,1026.49,125.72,2016,0.122475620804879
5320205.01,46.5580014616196,1.24595400398159,2016,0.026761329199422
5320205.02,1596.18,30.66,2016,0.019208359959403
5320206.00,1917.32784905552,0,2016,0
5350001.00,172.25,18.67,2016,0.108388969521045
5350002.00,259.4,117.41,2016,0.452621434078643
5350003.00,806.725747301196,213.397444324611,2016,0.264522912574077
5350004.00,3222.58464422351,1732.0838082467,2016,0.537482797031092
5350005.00,3418.22125162527,1837.23511919468,2016,0.537482797031095
5350006.00,139.610168457557,75.0380638365498,2016,0.537482797031093
5350007.01,2160.59937670934,1161.28499625737,2016,0.537482797031092
5350007.02,4484.02544732654,2410.08653938767,2016,0.537482797031094
