"dauid","ctuid"
"10010580","0010301.02"
"10010600","0010300.00"
"10010675","0010100.04"
"10010571","0010302.00"
"10010568","0010302.00"
"10010684","0010110.00"
"10010576","0010301.02"
"10010681","0010100.03"
"10010685","0010110.00"
"10010574","0010302.00"
"10010670","0010100.04"
"10010570","0010302.00"
"10010669","0010100.04"
"10010594","0010300.00"
"10010604","0010300.00"
"10010597","0010300.00"
"10010578","0010301.02"
"10010672","0010100.04"
"10010686","0010110.00"
"10010674","0010100.04"
"10010683","0010110.00"
"10010688","0010100.04"
"10010673","0010100.04"
"10010679","0010100.03"
"10010595","0010300.00"
"10010603","0010300.00"
"10010813","0010016.02"
"10010667","0010300.00"
"10010569","0010302.00"
"10010596","0010300.00"
"10010601","0010300.00"
"10010577","0010301.02"
"10010680","0010100.03"
"10010661","0010172.05"
"10010671","0010100.04"
"10010775","0010200.01"
"10010659","0010172.05"
"10010621","0010172.04"
"10010490","0010003.01"
"10010663","0010172.05"
"10010489","0010003.01"
"10010581","0010301.02"
"10010270","0010015.04"
"10010618","0010202.04"
"10010587","0010301.01"
"10010583","0010301.02"
"10010575","0010301.02"
"10010666","0010301.01"
"10010495","0010100.01"
"10010651","0010172.04"
"10010345","0010015.03"
"10010814","0010016.01"
"10010817","0010202.04"
"10010220","0010004.00"
"10010774","0010200.01"
"10010812","0010016.01"
"10010582","0010301.02"
"10010677","0010100.03"
"10010344","0010015.03"
"10010777","0010200.01"
"10010586","0010301.01"
"10010599","0010300.00"
"10010607","0010202.05"
"10010579","0010301.02"
"10010614","0010202.04"
"10010208","0010004.00"
"10010781","0010200.02"
"10010591","0010301.01"
"10010823","0010100.01"
"10010598","0010300.00"
"10010827","0010017.00"
"10010165","0010170.02"
"10010608","0010202.05"
"10010676","0010100.03"
"10010356","0010015.03"
"10010610","0010202.05"
"10010643","0010171.00"
"10010572","0010302.00"
"10010804","0010202.05"
"10010644","0010171.00"
"10010803","0010202.05"
"10010286","0010008.00"
"10010787","0010200.02"
"10010573","0010302.00"
"10010638","0010172.06"
"10010590","0010301.01"
"10010199","0010002.00"
"10010826","0010017.00"
"10010337","0010016.02"
"10010211","0010003.01"
"10010460","0010170.01"
"10010281","0010015.01"
"10010269","0010015.04"
"10010611","0010202.05"
"10010789","0010200.03"
"12090996","2050130.04"
"12090989","2050130.03"
"12090719","2050130.03"
"12090994","2050130.04"
"12090992","2050130.03"
"12090708","2050130.06"
"12090995","2050130.03"
"12090991","2050130.06"
"12090993","2050130.03"
"12090609","2050123.01"
"12090610","2050123.01"
"12090611","2050123.01"
"12090916","2050143.01"
"12090917","2050143.01"
"12090674","2050143.01"
"12090981","2050121.03"
"12090983","2050121.03"
"12090743","2050121.03"
"12090677","2050143.01"
"12090663","2050140.00"
"12090662","2050140.00"
"12090673","2050143.02"
"12090671","2050143.02"
"12090482","2050017.00"
"12090574","2050025.02"
"12090715","2050130.06"
"12090665","2050141.00"
"12090793","2050122.03"
"12090740","2050121.06"
"12090921","2050154.04"
"12090678","2050143.01"
"12090583","2050154.04"
"12090592","2050154.04"
"12090591","2050154.04"
"12090259","2050015.00"
"12090680","2050132.10"
"12090899","2050121.05"
"12090357","2050009.00"
"12090340","2050010.00"
"12090506","2050026.02"
"12090350","2050020.00"
"12090643","2050132.06"
"12090479","2050019.00"
"12090346","2050010.00"
"12090250","2050016.00"
"12090730","2050002.00"
"12090313","2050012.00"
"12090713","2050130.06"
"12090598","2050152.00"
"12090337","2050019.00"
"12090358","2050009.00"
"12090947","2050130.03"
"12090355","2050020.00"
"12090251","2050014.00"
"12090668","2050141.00"
"12090710","2050130.06"
"12090608","2050123.01"
"12090262","2050014.00"
"12090253","2050015.00"
"12090729","2050002.00"
"12090539","2050025.01"
"12090488","2050024.00"
"12090326","2050012.00"
"12090875","2050011.00"
"12090282","2050006.00"
"12090291","2050003.00"
"12090868","2050004.02"
"12090324","2050013.00"
"12090329","2050006.00"
"12090863","2050004.02"
"12090490","2050025.01"
"12090848","2050021.00"
"12090496","2050024.00"
"12090516","2050026.03"
"12090225","2050022.00"
"12090359","2050009.00"
"12090481","2050016.00"
"12090232","2050022.00"
"12090223","2050022.00"
"12090941","2050151.00"
"12090347","2050010.00"
"12090351","2050020.00"
"12090910","2050153.00"
"12090711","2050130.06"
"12090824","2050153.00"
"12090909","2050153.00"
"12090594","2050153.00"
"12090873","2050011.00"
"12090988","2050130.04"
"12090311","2050012.00"
"12090334","2050019.00"
"12090599","2050152.00"
"12090600","2050152.00"
"12090867","2050004.02"
"12090716","2050130.05"
"12090244","2050018.00"
"12090936","2050007.00"
"12090327","2050012.00"
"12090277","2050014.00"
"12090254","2050015.00"
"12090263","2050014.00"
"12090489","2050025.01"
"12090709","2050130.06"
"12090255","2050016.00"
"12090342","2050010.00"
"12090294","2050003.00"
"12090483","2050017.00"
"12090852","2050021.00"
"12090349","2050020.00"
"12090717","2050130.06"
"12090990","2050130.04"
"12090514","2050026.03"
"12090621","2050131.02"
"12090879","2050023.00"
"12090924","2050154.04"
"12090933","2050153.00"
"12090256","2050015.00"
"12090999","2050142.02"
"12090261","2050014.00"
"12090373","2050100.00"
"12090973","2050142.01"
"12090649","2050142.01"
"12090877","2050011.00"
"12090475","2050001.00"
"12090508","2050026.02"
"12090854","2050008.00"
"12090882","2050023.00"
"12090881","2050023.00"
"12090855","2050008.00"
"12090572","2050004.01"
"12090521","2050026.02"
"12090864","2050004.02"
"12090723","2050120.00"
"12090722","2050120.00"
"12090883","2050023.00"
"12090962","2050018.00"
"12090517","2050027.00"
"12090343","2050010.00"
"12090847","2050021.00"
"12090911","2050153.00"
"12090733","2050121.05"
"12090869","2050011.00"
"12090532","2050025.03"
"12090625","2050131.02"
"12090328","2050006.00"
"12090509","2050026.02"
"12090228","2050022.00"
"12090612","2050131.04"
"12090650","2050142.01"
"12090699","2050131.01"
"12090694","2050132.04"
"12090246","2050013.00"
"12090704","2050131.01"
"12090705","2050131.05"
"12090272","2050001.00"
"12090894","2050132.03"
"12090370","2050100.00"
"12090685","2050143.02"
"12090371","2050100.00"
"12090477","2050019.00"
"12090507","2050026.02"
"12090613","2050131.05"
"12090628","2050132.03"
"12090693","2050132.04"
"12090573","2050101.00"
"12090998","2050142.02"
"12090295","2050003.00"
"12090836","2050140.00"
"12090897","2050002.00"
"12090876","2050011.00"
"12090682","2050132.10"
"12090336","2050019.00"
"12090853","2050008.00"
"12090878","2050011.00"
"12090683","2050132.10"
"12090273","2050001.00"
"12090880","2050023.00"
"12090204","2050110.00"
"12090565","2050018.00"
"12090248","2050013.00"
"12090684","2050143.02"
"12090493","2050025.02"
"12090281","2050005.00"
"12090652","2050142.01"
"12090265","2050015.00"
"12090622","2050131.02"
"12090629","2050132.03"
"12090615","2050131.05"
"12090624","2050131.02"
"12090623","2050131.02"
"12090620","2050131.02"
"12090659","2050141.00"
"12090595","2050152.00"
"12090293","2050003.00"
"12090279","2050005.00"
"12090655","2050142.02"
"12090667","2050141.00"
"12090537","2050024.00"
"12090485","2050024.00"
"12090850","2050021.00"
"12090960","2050018.00"
"12090658","2050141.00"
"12090541","2050025.02"
"12090593","2050153.00"
"12090703","2050131.01"
"12090702","2050131.01"
"12090707","2050131.05"
"12090497","2050024.00"
"12090997","2050142.02"
"12090498","2050024.00"
"12090706","2050131.05"
"12090627","2050132.03"
"12090332","2050006.00"
"12090538","2050024.00"
"12090331","2050006.00"
"12090484","2050017.00"
"12090874","2050011.00"
"12090896","2050002.00"
"12090267","2050001.00"
"12090330","2050006.00"
"12090651","2050142.01"
"12090247","2050013.00"
"12090476","2050019.00"
"12090582","2050026.05"
"12090486","2050024.00"
"12090227","2050022.00"
"12090851","2050021.00"
"12090229","2050022.00"
"12090523","2050027.00"
"12090226","2050022.00"
"12090641","2050132.06"
"12090728","2050002.00"
"12090356","2050010.00"
"12090518","2050027.00"
"12090203","2050111.00"
"12090260","2050015.00"
"12090660","2050141.00"
"12090570","2050102.00"
"12090920","2050132.06"
"12090661","2050140.00"
"12090835","2050140.00"
"12090902","2050027.00"
"12090533","2050025.03"
"12090206","2050111.00"
"12090534","2050025.03"
"12090701","2050131.01"
"12090939","2050023.00"
"12090487","2050024.00"
"12090934","2050007.00"
"12090657","2050141.00"
"12090562","2050111.00"
"12090362","2050100.00"
"12090895","2050132.03"
"12090700","2050131.01"
"12090691","2050132.04"
"12090828","2050153.00"
"12090898","2050002.00"
"12090333","2050006.00"
"12090974","2050142.01"
"12090653","2050142.01"
"12090925","2050143.02"
"12090292","2050003.00"
"12090501","2050025.02"
"12090596","2050152.00"
"12090325","2050013.00"
"12090245","2050018.00"
"12090335","2050019.00"
"12090478","2050019.00"
"12090872","2050011.00"
"12090725","2050120.00"
"12090724","2050120.00"
"12090588","2050154.03"
"12090950","2050026.03"
"12090698","2050131.01"
"12090224","2050022.00"
"12090602","2050130.04"
"12090690","2050132.04"
"12090491","2050025.01"
"12090540","2050025.01"
"12090948","2050130.03"
"12090927","2050132.10"
"12090963","2050004.02"
"12090542","2050025.02"
"12090241","2050018.00"
"12090531","2050025.03"
"12090230","2050022.00"
"12090280","2050005.00"
"12090563","2050105.02"
"12090142","2050106.02"
"12090145","2050105.01"
"12090187","2050107.00"
"12090751","2050121.10"
"12090193","2050114.00"
"12090159","2050104.01"
"12090120","2050123.02"
"12090136","2050107.00"
"12090115","2050123.05"
"12090135","2050106.01"
"12090636","2050131.03"
"12090775","2050122.01"
"12090199","2050109.00"
"12090178","2050109.00"
"12090579","2050123.06"
"12090179","2050108.00"
"12090774","2050122.01"
"12090787","2050104.02"
"12090183","2050108.00"
"12090164","2050103.00"
"12090752","2050121.08"
"12090103","2050123.05"
"12090755","2050121.08"
"12090736","2050121.06"
"12090811","2050150.02"
"12090810","2050150.01"
"12090167","2050102.00"
"12090163","2050103.00"
"12090813","2050150.01"
"12090846","2050113.00"
"12090406","2050103.00"
"12090760","2050121.02"
"12090198","2050109.00"
"12090200","2050109.00"
"12090734","2050121.05"
"12090776","2050122.01"
"12090785","2050104.02"
"12090769","2050122.04"
"12090886","2050122.05"
"12090633","2050131.03"
"12090773","2050122.01"
"12090746","2050121.10"
"12091003","2050121.09"
"12090210","2050112.00"
"12090122","2050123.02"
"12090632","2050131.03"
"12090771","2050122.04"
"12090296","2050004.01"
"12090150","2050105.02"
"12090421","2050105.02"
"12090805","2050150.02"
"12090812","2050150.01"
"12090790","2050104.02"
"12090160","2050104.01"
"12090748","2050121.10"
"12090578","2050123.06"
"12090735","2050121.05"
"12090900","2050121.05"
"12090137","2050107.00"
"12090765","2050122.05"
"12090747","2050121.10"
"12090844","2050123.04"
"12090777","2050122.01"
"12090170","2050102.00"
"12090890","2050122.04"
"12090169","2050102.00"
"12090576","2050112.00"
"12090839","2050123.04"
"12090366","2050102.00"
"12090185","2050108.00"
"12090152","2050105.01"
"12090117","2050123.02"
"12090121","2050123.02"
"12090149","2050105.02"
"12090365","2050101.00"
"12090367","2050101.00"
"12090172","2050109.00"
"12090176","2050109.00"
"12090108","2050123.06"
"12090843","2050123.04"
"12090212","2050111.00"
"12090190","2050106.01"
"12090986","2050150.02"
"12090796","2050122.03"
"12090175","2050110.00"
"12090162","2050103.00"
"12090166","2050103.00"
"12090571","2050108.00"
"12090494","2050025.01"
"12090177","2050109.00"
"12090158","2050104.01"
"12090165","2050103.00"
"12090888","2050122.05"
"12090791","2050104.02"
"12090816","2050150.01"
"12090147","2050105.02"
"12090420","2050105.02"
"12090407","2050101.00"
"12090171","2050102.00"
"12090823","2050151.00"
"12090161","2050104.01"
"12090143","2050105.01"
"12090116","2050123.05"
"12090764","2050122.05"
"12090640","2050132.06"
"12090184","2050108.00"
"12090192","2050106.02"
"12090146","2050105.01"
"12090564","2050105.02"
"12090197","2050108.00"
"12090772","2050122.04"
"12090770","2050122.04"
"12090741","2050121.06"
"12090976","2050140.00"
"12090871","2050011.00"
"12090780","2050121.02"
"12090753","2050121.08"
"12090759","2050121.02"
"12090133","2050106.02"
"12090757","2050121.08"
"12090415","2050105.02"
"12090298","2050004.01"
"12090134","2050106.01"
"12090635","2050131.03"
"12090104","2050123.06"
"12090799","2050150.02"
"12090182","2050108.00"
"12090795","2050122.03"
"12090721","2050140.00"
"12090794","2050122.03"
"12090614","2050131.05"
"12090616","2050131.04"
"12090781","2050121.10"
"12090687","2050132.07"
"12090123","2050123.02"
"12090209","2050112.00"
"12090965","2050004.02"
"12090114","2050123.05"
"12090985","2050150.02"
"12090148","2050105.02"
"12090945","2050151.00"
"12090132","2050106.02"
"12090631","2050131.03"
"12090672","2050143.02"
"12090619","2050131.02"
"12090944","2050151.00"
"12090297","2050004.01"
"12090119","2050123.02"
"12090141","2050106.01"
"12090118","2050123.02"
"12090786","2050104.02"
"12090982","2050150.02"
"12090797","2050150.02"
"12090762","2050122.05"
"12090128","2050106.02"
"12090139","2050107.00"
"12090130","2050106.02"
"12090951","2050026.03"
"12090513","2050026.03"
"12090754","2050121.08"
"12090756","2050121.08"
"12090617","2050131.04"
"12090368","2050101.00"
"12090618","2050131.02"
"12090638","2050131.04"
"12090779","2050121.02"
"12090144","2050105.01"
"12090792","2050104.02"
"12090980","2050121.03"
"12090789","2050104.02"
"12090688","2050132.07"
"12090186","2050107.00"
"12090201","2050111.00"
"12090191","2050106.02"
"12090840","2050123.04"
"12090106","2050123.06"
"12090492","2050025.01"
"12090105","2050123.06"
"12090788","2050104.02"
"12090815","2050150.01"
"12090919","2050132.06"
"12090778","2050122.01"
"12090189","2050106.01"
"12090195","2050114.00"
"12090809","2050151.00"
"12090637","2050131.04"
"12090942","2050151.00"
"12090819","2050150.01"
"12090500","2050024.00"
"12090818","2050150.01"
"12090761","2050121.02"
"12090750","2050121.10"
"12090202","2050110.00"
"12090131","2050106.02"
"12090656","2050141.00"
"12090196","2050114.00"
"12090808","2050151.00"
"12090858","2050007.00"
"12090369","2050101.00"
"12090188","2050107.00"
"12090737","2050121.06"
"12090972","2050142.01"
"12090929","2050132.04"
"12090252","2050014.00"
"12090970","2050026.04"
"12090926","2050143.02"
"12090930","2050132.04"
"12090955","2050132.10"
"12090842","2050123.04"
"12090194","2050114.00"
"12090915","2050143.02"
"12090984","2050150.02"
"12090943","2050151.00"
"12090213","2050114.00"
"12090798","2050150.01"
"12090666","2050141.00"
"12090577","2050114.00"
"12090838","2050140.00"
"12090922","2050154.04"
"12090758","2050121.02"
"12090966","2050002.00"
"12090695","2050132.03"
"12090630","2050131.03"
"12090967","2050002.00"
"12090474","2050001.00"
"12090745","2050121.10"
"12090271","2050001.00"
"12090270","2050001.00"
"12090832","2050151.00"
"12090783","2050104.02"
"12090904","2050132.07"
"12090905","2050132.07"
"12090891","2050025.03"
"12090928","2050132.10"
"12090231","2050022.00"
"12090664","2050141.00"
"12090312","2050012.00"
"12090820","2050151.00"
"12090901","2050027.00"
"12090817","2050150.01"
"12090954","2050132.10"
"12090738","2050121.06"
"12090344","2050010.00"
"12090249","2050017.00"
"12090535","2050024.00"
"12090372","2050100.00"
"12090153","2050105.01"
"12090205","2050111.00"
"12090211","2050112.00"
"12090220","2050112.00"
"12090932","2050153.00"
"12090952","2050132.10"
"12090977","2050140.00"
"12090530","2050025.03"
"12090870","2050011.00"
"12090956","2050026.04"
"12090957","2050026.04"
"12090892","2050025.03"
"12090937","2050023.00"
"12090841","2050123.04"
"12090480","2050016.00"
"12090569","2050015.00"
"12090837","2050140.00"
"12091000","2050132.10"
"12090642","2050132.06"
"12090849","2050021.00"
"12090903","2050132.07"
"12090520","2050027.00"
"12091001","2050132.09"
"12090731","2050002.00"
"12090495","2050025.01"
"12090958","2050026.04"
"12090581","2050026.05"
"12090216","2050114.00"
"12090567","2050026.05"
"12090264","2050015.00"
"12090784","2050104.02"
"12090528","2050025.03"
"12090214","2050114.00"
"12090696","2050132.03"
"12090502","2050025.02"
"12090648","2050142.01"
"12090597","2050152.00"
"12090845","2050155.00"
"12090739","2050121.06"
"12090814","2050150.01"
"12090860","2050008.00"
"12090634","2050131.03"
"12090536","2050025.01"
"12090217","2050114.00"
"12090697","2050131.01"
"12090587","2050154.03"
"12091002","2050121.09"
"12090168","2050102.00"
"12090969","2050026.04"
"12090138","2050107.00"
"12090763","2050122.05"
"12090590","2050154.01"
"12090580","2050026.05"
"12090856","2050008.00"
"12090341","2050010.00"
"12090345","2050010.00"
"12090782","2050121.08"
"12090712","2050130.06"
"12090866","2050004.02"
"12090215","2050114.00"
"12090154","2050105.01"
"12090140","2050106.01"
"12090348","2050020.00"
"12090510","2050026.04"
"12090893","2050132.03"
"12090865","2050004.02"
"12090978","2050140.00"
"13060067","3050110.00"
"13060068","3050110.00"
"13010163","3100130.04"
"13010161","3100130.04"
"13010158","3100130.04"
"13100294","3200026.00"
"13100308","3200026.00"
"13100293","3200026.00"
"13100309","3200026.00"
"13050176","3100100.03"
"13050177","3100100.03"
"13040050","3100102.00"
"13050118","3100130.01"
"13050117","3100130.01"
"13050116","3100130.01"
"13070283","3050016.01"
"13070182","3050014.04"
"13100306","3200024.00"
"13100307","3200024.00"
"13100299","3200024.00"
"13100300","3200024.00"
"13100296","3200024.00"
"13100298","3200024.00"
"13100297","3200024.00"
"13030052","3200020.00"
"13030051","3200020.00"
"13030053","3200020.00"
"13030056","3200020.00"
"13030050","3200020.00"
"13030057","3200020.00"
"13030054","3200020.00"
"13030045","3200019.00"
"13030049","3200019.00"
"13100312","3200023.00"
"13030093","3200020.00"
"13030094","3200020.00"
"13030092","3200020.00"
"13030055","3200020.00"
"13100240","3200018.00"
"13100246","3200018.00"
"13100164","3200018.00"
"13100295","3200024.00"
"13100167","3200018.00"
"13100292","3200026.00"
"13100165","3200018.00"
"13100301","3200013.00"
"13060024","3050102.02"
"13070117","3050005.00"
"13070142","3050002.00"
"13070141","3050002.00"
"13060011","3050101.00"
"13070329","3050003.04"
"13070048","3050012.00"
"13070042","3050013.00"
"13010084","3100016.00"
"13070134","3050001.00"
"13070147","3050003.01"
"13060003","3050101.00"
"13070080","3050008.00"
"13010071","3100013.00"
"13010105","3100025.01"
"13070078","3050009.00"
"13060009","3050101.00"
"13070282","3050016.01"
"13070253","3050016.01"
"13010097","3100026.00"
"13070069","3050009.00"
"13010096","3100026.00"
"13050187","3100100.03"
"13070107","3050003.04"
"13070056","3050010.02"
"13070187","3050014.02"
"13070115","3050005.00"
"13050175","3100111.00"
"13070225","3050004.00"
"13070252","3050016.01"
"13070281","3050016.01"
"13060008","3050101.00"
"13050188","3100100.03"
"13070119","3050006.00"
"13070123","3050006.00"
"13010068","3100012.00"
"13070277","3050011.00"
"13070106","3050003.04"
"13060012","3050101.00"
"13060031","3050102.01"
"13070136","3050002.00"
"13050152","3100110.01"
"13070067","3050010.01"
"13070073","3050009.00"
"13070045","3050012.00"
"13070137","3050002.00"
"13070051","3050012.00"
"13050148","3100110.01"
"13010164","3100100.04"
"13010023","3100028.00"
"13070131","3050006.00"
"13070124","3050006.00"
"13070226","3050003.01"
"13070064","3050010.02"
"13060029","3050102.02"
"13070328","3050003.04"
"13070083","3050004.00"
"13060006","3050101.00"
"13010165","3100100.04"
"13070082","3050004.00"
"13070035","3050012.00"
"13070062","3050010.02"
"13070033","3050010.02"
"13070280","3050016.01"
"13070057","3050010.02"
"13070044","3050013.00"
"13010139","3100028.00"
"13010070","3100013.00"
"13010076","3100014.00"
"13070290","3050015.02"
"13070184","3050014.03"
"13070255","3050016.01"
"13070097","3050008.00"
"13060007","3050101.00"
"13060055","3050100.00"
"13070052","3050012.00"
"13070047","3050012.00"
"13010072","3100013.00"
"13070335","3050014.04"
"13010085","3100025.01"
"13010094","3100025.02"
"13060002","3050101.00"
"13070140","3050002.00"
"13070181","3050014.03"
"13070116","3050007.00"
"13010021","3100002.01"
"13070071","3050007.00"
"13010078","3100015.00"
"13070065","3050010.02"
"13060022","3050102.02"
"13070081","3050008.00"
"13070092","3050004.00"
"13070125","3050007.00"
"13070139","3050002.00"
"13070135","3050002.00"
"13070068","3050009.00"
"13060030","3050102.01"
"13050189","3100112.00"
"13070146","3050003.01"
"13070060","3050010.02"
"13060005","3050101.00"
"13070072","3050007.00"
"13070070","3050007.00"
"13070118","3050005.00"
"13070093","3050004.00"
"13070061","3050010.02"
"13070279","3050011.00"
"13010028","3100004.00"
"13010037","3100001.02"
"13070076","3050009.00"
"13060053","3050100.00"
"13060032","3050102.01"
"13060018","3050102.01"
"13070099","3050008.00"
"13070074","3050009.00"
"13010077","3100014.00"
"13010019","3100002.01"
"13070114","3050002.00"
"13070261","3050016.02"
"13010083","3100025.01"
"13070090","3050004.00"
"13010106","3100025.01"
"13010103","3100026.00"
"13060010","3050101.00"
"13070098","3050009.00"
"13070180","3050014.03"
"13070254","3050016.01"
"13070054","3050010.01"
"13070110","3050003.03"
"13070133","3050001.00"
"13070276","3050016.01"
"13070038","3050013.00"
"13070129","3050006.00"
"13070256","3050011.00"
"13070251","3050016.01"
"13060017","3050102.01"
"13070036","3050013.00"
"13010140","3100002.01"
"13010074","3100012.00"
"13010138","3100028.00"
"13070138","3050002.00"
"13060021","3050102.02"
"13070278","3050011.00"
"13060013","3050101.00"
"13070041","3050013.00"
"13070260","3050016.02"
"13010089","3100025.02"
"13070043","3050013.00"
"13070183","3050014.04"
"13070079","3050008.00"
"13020066","3100101.00"
"13070132","3050006.00"
"13010024","3100002.02"
"13010026","3100002.02"
"13070077","3050009.00"
"13070102","3050003.04"
"13070257","3050016.01"
"13070127","3050006.00"
"13070121","3050005.00"
"13070109","3050003.03"
"13010148","3100010.00"
"13050149","3100110.01"
"13060001","3050101.00"
"13060004","3050101.00"
"13070120","3050005.00"
"13070096","3050008.00"
"13070101","3050003.04"
"13070085","3050004.00"
"13010063","3100001.02"
"13010087","3100025.01"
"13060052","3050102.01"
"13060020","3050102.02"
"13070128","3050006.00"
"13060019","3050102.01"
"13070113","3050004.00"
"13070130","3050006.00"
"13070126","3050007.00"
"13060025","3050102.02"
"13010075","3100013.00"
"13070284","3050015.02"
"13010027","3100002.02"
"13010018","3100002.01"
"13070084","3050004.00"
"13010104","3100025.01"
"13070075","3050009.00"
"13010073","3100012.00"
"13070105","3050003.04"
"13070175","3050014.02"
"13060026","3050102.01"
"13010079","3100015.00"
"13050185","3100100.01"
